case_id,issue_type,symptom,topology_note,show_command,show_command_output,expected_fault,osi_layer,concept,severity,packet_tracer_file,verification_command,verification_result,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,human_decision,human_correction,verification_status,evidence_source,evaluation_score,evaluation_status,expected_category,ai_fault_category,ai_predicted_category,rule_predicted_category
C001,VLAN / Trunk,"PC1 can reach its own gateway at 192.168.10.1 and the VLAN 20 gateway at 192.168.20.1, but cannot reach PC2 at 192.168.20.10.",R1 router-on-a-stick connected to SW1 through Gi0/0-Gi0/1. PC1 is in VLAN 10 (192.168.10.10/24). PC2 is in VLAN 20 (192.168.20.10/24). R1 Gi0/0.10 is 192.168.10.1/24 and Gi0/0.20 is 192.168.20.1/24.,show interfaces trunk; show vlan brief; show interfaces gigabitEthernet 0/1 switchport,show interfaces trunk: Gi0/1 is trunking using 802.1Q; Vlans allowed on trunk: 10; Vlans allowed and active: 10; Vlans forwarding and not pruned: 10. show vlan brief: VLAN 20 SERVERS is active on Fa0/2. show interfaces Gi0/1 switchport: Administrative Mode trunk; Operational Mode trunk; dot1q; Trunking VLANs Enabled: 10.,VLAN 20 is excluded from the allowed VLAN list on the SW1 Gi0/1 trunk.,Layer 2 — Data Link,802.1Q trunk VLAN propagation,High,NetSage_C001_VLAN20_TrunkFault.pkt,ping 192.168.20.10,"After correction: Sent=4, Received=4, Lost=0%, Average=0ms.",VLAN 20 is not allowed on the trunk interface Gi0/1.,1.0,"show interfaces trunk shows Gi0/1 is trunking with VLANs allowed: 10, but VLAN 20 is not allowed.",show interfaces trunk,Add VLAN 20 to the allowed VLANs on Gi0/1.,,,VERIFIED,,1.0,Correct,TRUNK_VLAN,TRUNK_VLAN,,
C002,Gateway,PC2 has an IP address but cannot reach its default gateway.,PC2 is in VLAN 20 with address 192.168.20.10/24.,show ip interface brief,R1 Gi0/0.20 is up/up with 192.168.20.1.,PC2 has an incorrect default gateway.,Layer 3 — Network,Default gateway,High,,ping 192.168.20.1,Expected successful replies after correcting gateway.,Incorrect default gateway configuration on PC2,1.0,"PC2 has an IP address but cannot reach its default gateway. R1 Gi0/0.20 is up/up with 192.168.20.1, which is likely the correct gateway for VLAN 20.",ping 192.168.20.1 from PC2,Verify and set the default gateway on PC2 to 192.168.20.1.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,DEFAULT_GATEWAY,DEFAULT_GATEWAY,,
C003,IP Addressing,PC1 cannot communicate with hosts in its local subnet.,PC1 is connected to SW1 Fa0/1 in VLAN 10.,ipconfig; ping 192.168.10.1; ping 192.168.10.20,"PC1 ipconfig:
IPv4 Address: 192.168.10.10
Subnet Mask: 255.255.0.0
Default Gateway: 192.168.10.1

Ping 192.168.10.1:
4 packets sent, 4 received, 0% loss.

Ping 192.168.10.20:
4 packets sent, 0 received, 100% loss.",PC1 has an incorrect subnet mask.,Layer 3 — Network,IPv4 subnet mask,Medium,,ping 192.168.10.1,Expected successful gateway ping after correcting mask.,Incorrect IP address configuration,1.0,"PC1 has an IP address 192.168.10.10 with a subnet mask of 255.255.0.0, which is not compatible with the subnet containing 192.168.10.1 and 192.168.10.20.",show ip interface brief,Correct the subnet mask to 255.255.255.0 on PC1.,Edited,SUBNET_MASK,Human verified,Diagnostic evidence reviewed by human,1.0,Correct,SUBNET_MASK,SUBNET_MASK,IP_ADDRESS,SUBNET_MASK
C004,VLAN,A workstation cannot reach other hosts in its expected VLAN.,PC1 is connected to SW1 Fa0/1 and should belong to VLAN 10.,show vlan brief,Fa0/1 is assigned to VLAN 20 instead of VLAN 10.,Access port is assigned to the wrong VLAN.,Layer 2 — Data Link,Access VLAN assignment,High,,ping 192.168.10.1,Expected successful connectivity after moving Fa0/1 to VLAN 10.,Interface Fa0/1 is incorrectly assigned to VLAN 20 instead of VLAN 10.,1.0,show vlan brief indicates Fa0/1 is assigned to VLAN 20 instead of VLAN 10.,show running-config interface Fa0/1,Assign Fa0/1 to VLAN 10 using the command: switchport access vlan 10.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,VLAN_ASSIGNMENT,VLAN_ASSIGNMENT,,
C005,Interface,A connected PC cannot communicate with the network.,PC1 connects to SW1 Fa0/1.,show interfaces status,Fa0/1 is administratively down.,The switch access interface is shutdown.,Layer 1 — Physical,Interface administrative state,High,,show interfaces status,Expected Fa0/1 connected after enabling the interface.,Interface is administratively down,1.0,Fa0/1 is administratively down,show running-config interface Fa0/1,Enable the interface using the command `no shutdown` on Fa0/1.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,INTERFACE_SHUTDOWN,INTERFACE_SHUTDOWN,,
C006,Trunk,Hosts in one VLAN cannot reach the router while another VLAN works.,SW1 Gi0/1 connects to R1 Gi0/0 using router-on-a-stick.,show interfaces trunk,Gi0/1 is trunking but VLAN 20 is absent from allowed VLANs.,Required VLAN is missing from the trunk allowed list.,Layer 2 — Data Link,802.1Q trunking,High,,ping 192.168.20.10,Expected successful connectivity after allowing VLAN 20.,VLAN 20 is not allowed on the trunk interface Gi0/1.,1.0,Gi0/1 is trunking but VLAN 20 is absent from allowed VLANs.,show running-config interface Gi0/1,Add VLAN 20 to the allowed VLANs on Gi0/1.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,TRUNK_VLAN,TRUNK_VLAN,,
C007,Routing,A remote network is unreachable although local connectivity works.,R1 has a directly connected LAN and a remote routed network.,show ip route,No route exists for the remote destination network.,Required static route is missing.,Layer 3 — Network,Static routing,High,,show ip route,Expected remote route to appear after configuration.,Missing static route to the remote network,1.0,No route exists for the remote destination network,show ip route,Add a static route to the remote network using the 'ip route' command.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,STATIC_ROUTE,STATIC_ROUTE,,
C008,DHCP,A client receives no usable IPv4 address from DHCP.,Client is connected to a LAN served by a Cisco DHCP pool.,show ip dhcp pool,DHCP pool exists but the configured network does not match the client LAN.,DHCP pool network is incorrectly configured.,Layer 3 — Network,DHCP addressing,High,,show ip dhcp binding,Expected client lease after correcting the pool.,Incorrectly configured network in DHCP pool,1.0,DHCP pool exists but the configured network does not match the client LAN.,show ip dhcp binding,Correct the network configuration in the DHCP pool to match the client LAN.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,DHCP,DHCP,,
C009,DNS,A client can ping an IP address but cannot resolve a hostname.,Client has network connectivity to the DNS server.,ipconfig /all,DNS server address is missing or incorrect.,Incorrect DNS server configuration on the client.,Layer 7 — Application,DNS resolution,Medium,,nslookup server.example,Expected successful name resolution after correcting DNS.,Incorrect or missing DNS server configuration,1.0,DNS server address is missing or incorrect,nslookup,Configure the correct DNS server address on the client or router.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,DNS,DNS,,
C010,ACL,A host can reach the gateway but traffic to a permitted server is blocked.,R1 routes traffic between the client and server networks.,show access-lists,ACL contains a deny entry matching the server traffic.,ACL rule incorrectly blocks required traffic.,Layer 3/4,Access control lists,High,,show access-lists,Expected permitted traffic after correcting ACL.,Deny rule in ACL blocking server traffic,1.0,ACL contains a deny entry matching the server traffic.,show running-config access-list,Remove or modify the deny entry in the ACL to allow traffic to the permitted server.,,,NOT_REVIEWED,synthetic_lab_scenario,1.0,Correct,ACL,ACL,,
